tag,rule,latency,episodes,success,collision,timeout,score,speed
all_k0,all,0,292,0.9863013698630136,0.010273972602739725,0.0,341.3686498575847,2.9751243230813147
all_k1,all,1,116,0.9827586206896551,0.017241379310344827,0.0,339.92783107087513,2.9782435406809267
all_k10,all,10,124,0.8790322580645161,0.13709677419354838,0.0,258.943838676638,3.109912318911979
all_k2,all,2,120,0.9833333333333333,0.008333333333333333,0.0,339.76676911671996,3.047225119686928
all_k3,all,3,118,0.9915254237288136,0.0,0.0,339.3332314579405,3.00852049415947
all_k4,all,4,125,0.976,0.016,0.0,328.41172807881657,3.160301512287509
all_k5,all,5,118,0.9830508474576272,0.00847457627118644,0.0,329.16567592446864,3.0125861320740137
all_k6,all,6,123,0.975609756097561,0.032520325203252036,0.0,306.92176969584415,3.148864658152471
all_k7,all,7,121,0.9338842975206612,0.05785123966942149,0.0,307.6672261729321,3.0914111763238905
all_k8,all,8,125,0.912,0.08,0.0,289.614805500398,3.1537267796454893
all_k9,all,9,118,0.8983050847457628,0.09322033898305085,0.0,285.30376674029606,3.0392225675093822
nearest1_k0,nearest1,0,128,0.671875,0.046875,0.296875,253.68038508609098,1.2869050641228834
nearest1_k1,nearest1,1,163,0.8466257668711656,0.12883435582822086,0.012269938650306749,252.7528963351379,2.12135828948169
nearest1_k10,nearest1,10,137,0.43795620437956206,0.4233576642335766,0.12408759124087591,107.27928865562563,1.6542330028834167
nearest1_k2,nearest1,2,187,0.8128342245989305,0.18716577540106952,0.0,225.92770601920947,2.3925919590769587
nearest1_k3,nearest1,3,198,0.803030303030303,0.1919191919191919,0.0,223.659262184597,2.473125997854739
nearest1_k4,nearest1,4,186,0.7580645161290323,0.22580645161290322,0.010752688172043012,203.575766849615,2.3785206850456153
nearest1_k5,nearest1,5,193,0.7461139896373057,0.24352331606217617,0.0,197.7140409693627,2.397865634626119
nearest1_k6,nearest1,6,185,0.6378378378378379,0.33513513513513515,0.021621621621621623,149.6677422735653,2.279967053014724
nearest1_k7,nearest1,7,163,0.6257668711656442,0.3374233128834356,0.024539877300613498,146.45358727199533,2.044300350898541
nearest1_k8,nearest1,8,160,0.60625,0.33125,0.05,156.50852864035016,2.0202023492583745
nearest1_k9,nearest1,9,147,0.5102040816326531,0.3945578231292517,0.08163265306122448,111.62904804952322,1.8103286905535336
nearest2_k0,nearest2,0,120,0.9583333333333334,0.03333333333333333,0.0,327.9831536598533,3.070471514172915
nearest2_k1,nearest2,1,116,0.9827586206896551,0.008620689655172414,0.0,329.88125189839604,2.9672439481901085
nearest2_k10,nearest2,10,123,0.7804878048780488,0.21951219512195122,0.0,218.67410624533343,3.0298883348214822
nearest2_k2,nearest2,2,112,0.9821428571428571,0.008928571428571428,0.0,329.2996280342586,2.8764065686646885
nearest2_k3,nearest2,3,117,0.9658119658119658,0.02564102564102564,0.0,314.78145406239696,3.0323369235828004
nearest2_k4,nearest2,4,122,0.9098360655737705,0.09836065573770492,0.0,277.6219971366149,3.1038275651695315
nearest2_k5,nearest2,5,125,0.88,0.12,0.0,272.69776907087595,3.106777621853736
nearest2_k6,nearest2,6,124,0.8467741935483871,0.14516129032258066,0.0,256.4424185042277,3.121047738121777
nearest2_k7,nearest2,7,122,0.860655737704918,0.14754098360655737,0.0,250.5762851534091,3.0674602059293385
nearest2_k8,nearest2,8,129,0.8062015503875969,0.1937984496124031,0.0,221.7033060290283,3.1590680684894323
nearest2_k9,nearest2,9,123,0.7967479674796748,0.21138211382113822,0.0,218.4618761754066,3.0644329024142904
none,none,,99,0.020202020202020204,0.0,0.9696969696969697,160.26029571409893,0.5038668169659011
random1_k0,random1,0,137,0.708029197080292,0.0072992700729927005,0.2773722627737226,281.59143310996194,1.4639609951306791
random1_k1,random1,1,113,0.672566371681416,0.035398230088495575,0.2831858407079646,270.39034116608275,1.5725486146974135
random1_k10,random1,10,115,0.5130434782608696,0.1826086956521739,0.2956521739130435,185.80730255094545,1.4987136821831222
random1_k2,random1,2,112,0.6607142857142857,0.0625,0.26785714285714285,256.65898966319463,1.4453293017365716
random1_k3,random1,3,113,0.6017699115044248,0.05309734513274336,0.3274336283185841,242.63884800880655,1.5439406708554104
random1_k4,random1,4,113,0.6902654867256637,0.07079646017699115,0.23008849557522124,245.41649064302334,1.5862300089814447
random1_k5,random1,5,123,0.6829268292682927,0.06504065040650407,0.24390243902439024,253.65577019842544,1.7595121658537998
random1_k6,random1,6,170,0.6,0.08235294117647059,0.3058823529411765,233.58757013460675,1.5161735356567863
random1_k7,random1,7,115,0.6347826086956522,0.08695652173913043,0.25217391304347825,240.22764888677088,1.5404467611972774
random1_k8,random1,8,112,0.5267857142857143,0.13392857142857142,0.33035714285714285,195.69604977425237,1.50165539058772
random1_k9,random1,9,122,0.6065573770491803,0.13934426229508196,0.2540983606557377,215.97529816973602,1.6571901892622312
