tag,rule,k,ecpg,succ,coll
all_k0,all,0,1.0,0.986,0.01
all_k1,all,1,0.997,0.983,0.017
all_k2,all,2,0.977,0.983,0.008
nearest2_k0,nearest2,0,0.95,0.958,0.033
nearest2_k1,nearest2,1,0.931,0.983,0.009
all_k3,all,3,0.921,0.992,0.0
nearest2_k2,nearest2,2,0.872,0.982,0.009
all_k4,all,4,0.813,0.976,0.016
nearest2_k3,nearest2,3,0.776,0.966,0.026
nearest1_k0,nearest1,0,0.72,0.672,0.047
nearest2_k4,nearest2,4,0.64,0.91,0.098
all_k5,all,5,0.636,0.983,0.008
nearest1_k1,nearest1,1,0.617,0.847,0.129
random1_k0,random1,0,0.55,0.708,0.007
nearest1_k2,nearest1,2,0.514,0.813,0.187
random1_k1,random1,1,0.471,0.673,0.035
nearest2_k5,nearest2,5,0.465,0.88,0.12
nearest1_k3,nearest1,3,0.411,0.803,0.192
random1_k2,random1,2,0.393,0.661,0.062
all_k6,all,6,0.37,0.976,0.033
random1_k3,random1,3,0.314,0.602,0.053
nearest1_k4,nearest1,4,0.309,0.758,0.226
nearest2_k6,nearest2,6,0.252,0.847,0.145
random1_k4,random1,4,0.236,0.69,0.071
nearest1_k5,nearest1,5,0.206,0.746,0.244
random1_k5,random1,5,0.157,0.683,0.065
nearest1_k6,nearest1,6,0.103,0.638,0.335
random1_k6,random1,6,0.079,0.6,0.082
all_k7,all,7,0.0,0.934,0.058
nearest2_k7,nearest2,7,0.0,0.861,0.148
nearest1_k7,nearest1,7,0.0,0.626,0.337
random1_k7,random1,7,0.0,0.635,0.087
all_k8,all,8,-0.048,0.912,0.08
nearest2_k8,nearest2,8,-0.068,0.806,0.194
random1_k8,random1,8,-0.079,0.527,0.134
all_k9,all,9,-0.095,0.898,0.093
nearest1_k8,nearest1,8,-0.103,0.606,0.331
nearest2_k9,nearest2,9,-0.136,0.797,0.211
all_k10,all,10,-0.143,0.879,0.137
random1_k9,random1,9,-0.157,0.607,0.139
nearest2_k10,nearest2,10,-0.204,0.78,0.22
nearest1_k9,nearest1,9,-0.206,0.51,0.395
random1_k10,random1,10,-0.236,0.513,0.183
nearest1_k10,nearest1,10,-0.309,0.438,0.423
