rule,k,n_ep,collision_rate,success_rate,mean_speed
all,0,5,0.2,1.0,3.397
all,1,6,0.167,0.833,3.143
all,2,5,0.0,1.0,3.147
all,3,5,0.0,1.0,3.352
all,4,5,0.0,1.0,3.269
all,5,5,0.0,1.0,3.473
all,6,5,0.0,1.0,3.409
all,7,5,0.2,0.8,3.482
all,8,5,0.0,1.0,3.341
all,9,5,0.2,0.8,3.43
all,10,4,0.0,1.0,3.166
nearest2,0,4,0.0,1.0,2.899
nearest2,1,3,0.333,0.667,2.623
nearest2,2,4,0.25,0.75,3.172
nearest2,3,5,0.0,1.0,3.254
nearest2,4,5,0.2,0.8,3.457
nearest2,5,4,0.0,1.0,2.917
nearest2,6,4,0.0,1.0,3.053
nearest2,7,5,0.0,1.0,3.155
nearest2,8,5,0.0,1.0,3.261
nearest2,9,5,0.0,1.0,3.142
nearest2,10,5,0.0,1.0,3.182
nearest1,0,4,0.0,1.0,3.429
nearest1,1,5,0.0,1.0,3.193
nearest1,2,5,0.0,1.0,3.534
nearest1,3,5,0.0,1.0,3.349
nearest1,4,4,0.0,1.0,2.964
nearest1,5,5,0.0,1.0,3.289
nearest1,6,5,0.2,0.8,2.713
nearest1,7,5,0.2,0.8,3.465
nearest1,8,4,0.25,0.75,2.927
nearest1,9,5,0.0,1.0,3.294
nearest1,10,3,0.0,1.0,2.346
random1,0,6,0.167,0.833,3.065
random1,1,3,0.0,1.0,2.296
random1,2,2,0.0,1.0,1.77
random1,3,3,0.0,1.0,2.877
random1,4,3,0.333,0.667,2.496
random1,5,5,0.0,1.0,3.283
random1,6,4,0.25,1.0,2.751
random1,7,4,0.0,1.0,3.016
random1,8,3,0.0,1.0,2.517
random1,9,3,0.0,1.0,3.458
random1,10,5,0.0,1.0,3.181
