rule,k,n_ep,collision_rate,success_rate,mean_speed
all,0,6,0.0,0.833,2.614
all,1,8,0.0,0.75,2.455
all,2,9,0.0,0.889,2.88
all,3,9,0.0,0.889,2.807
all,4,11,0.0,0.818,2.627
all,5,5,0.0,1.0,3.078
all,6,6,0.0,1.0,3.198
all,7,7,0.0,1.0,3.405
all,8,6,0.0,1.0,3.233
all,9,5,0.0,1.0,3.435
all,10,4,0.0,1.0,2.926
nearest2,0,8,0.0,0.75,2.299
nearest2,1,7,0.0,0.714,2.12
nearest2,2,7,0.0,0.714,2.523
nearest2,3,7,0.0,0.857,2.693
nearest2,4,5,0.0,1.0,3.326
nearest2,5,4,0.0,1.0,3.188
nearest2,6,6,0.0,1.0,3.288
nearest2,7,4,0.0,1.0,2.756
nearest2,8,9,0.222,0.778,3.304
nearest2,9,5,0.2,0.8,3.098
nearest2,10,5,0.2,0.8,3.442
nearest1,0,5,0.0,0.6,1.567
nearest1,1,8,0.0,1.0,3.037
nearest1,2,4,0.25,0.5,1.561
nearest1,3,7,0.0,0.857,2.459
nearest1,4,5,0.2,0.8,2.753
nearest1,5,5,0.2,0.8,2.584
nearest1,6,4,0.25,0.5,2.29
nearest1,7,2,0.5,0.5,1.696
nearest1,8,4,0.5,0.5,2.462
nearest1,9,4,0.25,0.75,2.136
nearest1,10,3,0.333,0.667,2.507
random1,0,2,0.0,0.5,1.082
random1,1,5,0.0,0.6,1.696
random1,2,6,0.0,0.667,2.15
random1,3,5,0.0,0.8,2.224
random1,4,4,0.25,1.0,2.439
random1,5,2,0.0,1.0,2.084
random1,6,3,0.0,1.0,2.366
random1,7,3,0.0,1.0,2.575
random1,8,2,0.0,1.0,2.594
random1,9,2,0.0,0.5,1.268
random1,10,3,0.333,0.667,2.673
